name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
Miss Rose Gel Eyeliner | Shade - Black & Brown,,,77 orders in last 7 days,,Rs. 547,Rs.  238,56% Off,3.9000000000000004,(113),https://www.snapdeal.com/product/miss-rose-intense-black-and/624385647035#bcrumbSearch:eyeliner
"Swiss Beauty 2 in 1 Eyebrow & Gel Eyeliner (Black), 7gm",,,55 orders in last 7 days,,Rs. 299,Rs.  269,10% Off,4.3,(347),https://www.snapdeal.com/product/swiss-beauty-2-in-1/672710637013#bcrumbSearch:eyeliner
ADS Colossal 6 Pencil Kajal Pencil Eyeliner + 3 36Hr Sketch Eye Liner 3.2 gm,,,309 orders in last 30 days,,Rs. 600,Rs.  295,51% Off,3.8,(170),https://www.snapdeal.com/product/ads-colossal-6-pencil-kajal/628543689788#bcrumbSearch:eyeliner
Yanqina Black color 36 hrs Liquid Eyeliner | Pack of 6,,,,,Rs. 499,Rs.  262,47% Off,4.0,(365),https://www.snapdeal.com/product/ads-yanqina-36-hrs-liquid/661538656266#bcrumbSearch:eyeliner
ADS Gel Eyeliner Black 3 g,,,,,Rs. 640,Rs.  346,46% Off,3.4000000000000004,(53),https://www.snapdeal.com/product/ads-gel-eyeliner-black-3/650602600091#bcrumbSearch:eyeliner
Volo Waterproof Glitter Eyeliner (Olive Green & Sky Blue),,,,,Rs. 399,Rs.  397,1% Off,3.8,(108),https://www.snapdeal.com/product/volo-waterproof-sky-blue-liquid/676471685189#bcrumbSearch:eyeliner
ADS Liquid Eyeliner Black 10 g,,,,,"Rs. 1,136",Rs.  315,72% Off,3.5,(72),https://www.snapdeal.com/product/ads-good-choice-india-kajal/677498974538#bcrumbSearch:eyeliner
Mars Waterproof Lip & Pencil Eyeliner Black 0.35 g,,,,,Rs. 499,Rs.  299,40% Off,3.2,(27),https://www.snapdeal.com/product/mars-waterproof-lip-pencil-eyeliner/675625081312#bcrumbSearch:eyeliner
"ADS Waterproof Eye Pencil(Black,6 Pencil Eyeliner Black 0.25 g",,,,,Rs. 763,Rs.  269,65% Off,3.5,(277),https://www.snapdeal.com/product/ads-france-long-lasting-sparkle/602130762#bcrumbSearch:eyeliner
Mars Long Wear Eyebrow &  Gel Eyeliner Black 3 g,,,,,Rs. 680,Rs.  343,50% Off,3.1,(58),https://www.snapdeal.com/product/mars-long-wear-eyebrow-gel/642025506329#bcrumbSearch:eyeliner
MN Pencil Eyeliner black Pack of 2 6,,,,,Rs. 399,Rs.  255,36% Off,3.9000000000000004,(101),https://www.snapdeal.com/product/mn-pencil-eyeliner-dynamic-black/641778982395#bcrumbSearch:eyeliner
"VOLO WATERPROOF Golden, Copper Liquid Eyeliner Green Pack of 3 15 mL",,,,,Rs. 567,Rs.  450,21% Off,5.0,(1),https://www.snapdeal.com/product/volo-waterproof-golden-copper-liquid/618857048042#bcrumbSearch:eyeliner
ADS Good Choice india Pencil Eyeliner Black 29 g,,,,,Rs. 685,Rs.  417,39% Off,,,https://www.snapdeal.com/product/ads-good-choice-india-pencil/637966498873#bcrumbSearch:eyeliner
"VOLO WATERPROOF Blue, Gold Liquid Eyeliner Silver Pack of 3 15 mL",,,,,Rs. 567,Rs.  450,21% Off,,,https://www.snapdeal.com/product/volo-waterproof-blue-gold-liquid/659947883280#bcrumbSearch:eyeliner
"VOLO WATERPROOF Silver, Gold Liquid Eyeliner White Pack of 3 15 mL",,,,,Rs. 567,Rs.  450,21% Off,,,https://www.snapdeal.com/product/volo-waterproof-silver-gold-liquid/660258265991#bcrumbSearch:eyeliner
VOLO WATERPROOF GOLD Liquid Eyeliner White Pack of 2 10 mL,,,,,Rs. 399,Rs.  399,,4.0,(2),https://www.snapdeal.com/product/volo-waterproof-gold-liquid-eyeliner/639370029515#bcrumbSearch:eyeliner
ADS Good Choice Free Kajal With  Gel Eyeliner Black 3.5 g,,,,,Rs. 775,Rs.  328,58% Off,2.7,(3),https://www.snapdeal.com/product/ads-good-choice-free-kajal/630823717977#bcrumbSearch:eyeliner
MN Pencil Eyeliner Multi 35 gm,,,,,Rs. 878,Rs.  429,51% Off,1.0,(1),https://www.snapdeal.com/product/mn-pencil-eyeliner-multi-35/659829585926#bcrumbSearch:eyeliner
ADS Buy 1 Get 1 Free Cream Eyeliner Black Pack of 2 6 g,,,,,"Rs. 1,085",Rs.  528,51% Off,2.3000000000000003,(6),https://www.snapdeal.com/product/ads-cream-eyeliner-black-6/678168330086#bcrumbSearch:eyeliner
ADS Pencil Eyeliner MULTICOLOR .4 gm,,,,,Rs. 499,Rs.  249,50% Off,3.299999999999999,(11),https://www.snapdeal.com/product/ads-pencil-eyeliner-multicolor-4/654537240032#bcrumbSearch:eyeliner
GlamGals Glide-on Pencil Eyeliner Green 1.2 g,,,,,Rs. 375,Rs.  337,10% Off,,,https://www.snapdeal.com/product/glamgals-glideon-pencil-eyeliner-green/638413551004
Seven Seas Eye Catching Sketch Pencil Eyeliner Black 100 g,,,,,Rs. 210,Rs.  210,,,,https://www.snapdeal.com/product/seven-seas-eye-catching-sketch/621512161074
Laperla Liquid Eyeliner Black Pack of 2 5.5 mL,,,,,Rs. 510,Rs.  196,62% Off,,,https://www.snapdeal.com/product/laperla-liquid-eyeliner-black-pack/678633143621
Colors Queen Gel Kajal & Cake Eye liner Kajal Gel Black 7 g,,,,,Rs. 349,Rs.  349,,4.5,(6),https://www.snapdeal.com/product/colors-queen-gel-kajal-cake/623307753260
Miss Rose Long Lasting Liquid Eyeliner Black 20 g,,,,,Rs. 414,Rs.  238,43% Off,4.5,(2),https://www.snapdeal.com/product/miss-rose-long-lasting-liquid/679552073094
Laperla Liquid Eyeliner Black Pack of 3 5.5 mL,,,,,Rs. 735,Rs.  226,69% Off,,,https://www.snapdeal.com/product/laperla-liquid-eyeliner-black-pack/648737704724
Miss Rose Miss Rose Cream Eyeliner Black and Brown 0.05 kg,,,,,Rs. 499,Rs.  249,50% Off,,,https://www.snapdeal.com/product/miss-rose-miss-rose-cream/652654683178
Colors Queen Eyeliner & Mascara Black,,,,,Rs. 360,Rs.  360,,4.0,(1),https://www.snapdeal.com/product/colors-queen-eyeliner-mascara-black/660846275905
Incolor Master Stroke Eyeliner Shade 12,,,,,Rs. 239,Rs.  200,16% Off,4.5,(2),https://www.snapdeal.com/product/incolor-master-strock-pearl-liquid/620747498302
Kremlin Liquid Eyeliner Black Pack of 6 6 mL,,,,,"Rs. 1,590",Rs.  335,79% Off,5.0,(1),https://www.snapdeal.com/product/kremlin-liquid-eyeliner-black-pack/679330045157
" Seven Seas Professional Makeup Combo kit (Kajal,Mascara,Eyeliner,Face Mask) | Pack of 4",,,,,Rs. 720,Rs.  577,20% Off,,,https://www.snapdeal.com/product/seven-seas-professional-makeup-combo/669213266807
Colors Queen Waterproof Pencil Eyeliner Black 2 g,,,,,Rs. 249,Rs.  249,,3.0,(7),https://www.snapdeal.com/product/colors-queen-waterproof-pencil-eyeliner/674142332562
Kremlin Liquid Eyeliner Black Pack of 2 6 mL,,,,,Rs. 390,Rs.  206,47% Off,,,https://www.snapdeal.com/product/kremlin-liquid-eyeliner-black-pack/656740749269
Laperla Liquid Eyeliner Black Pack of 2 6 mL,,,,,Rs. 390,Rs.  210,46% Off,,,https://www.snapdeal.com/product/laperla-liquid-eyeliner-black-pack/686642216316
ADS 18 Color Eyeshadow Eyeliner Mascara Eyes Powder Colours 280 g Pack of 3,,,,,Rs. 499,Rs.  400,20% Off,3.0,(5),https://www.snapdeal.com/product/ads-18-color-eyeshadow-eyeliner/622315994272
Kremlin Liquid Eyeliner Black Pack of 5 5.5 mL,,,,,"Rs. 1,225",Rs.  295,76% Off,,,https://www.snapdeal.com/product/kremlin-liquid-eyeliner-black-pack/632102675776
Laperla Liquid Eyeliner Black Pack of 2 6 mL,,,,,Rs. 510,Rs.  196,62% Off,,,https://www.snapdeal.com/product/laperla-liquid-eyeliner-black-pack/622667598021
Colors Queen Stick Eyeliner Black 6 g,,,,,Rs. 249,Rs.  249,,5.0,(3),https://www.snapdeal.com/product/colors-queen-stick-eyeliner-black/660243262082
Incolor Master Stroke Eyeliner Shade 09 Envy Green | 6 ml,,6 left!,,,Rs. 239,Rs.  199,17% Off,4.0,(3),https://www.snapdeal.com/product/incolor-liquid-eyeliner-green-6/685331046188
Miss Rose Cake Eyeliner Kajal Gel Black 6 g,,,,,Rs. 499,Rs.  385,23% Off,,,https://www.snapdeal.com/product/miss-rose-cake-eyeliner-kajal/622325338323
ADS 1608 Waterproof Eyeliner / Mascara / Scrub(50 gm) Makeup Kit gm,,,,,Rs. 449,Rs.  396,12% Off,4.200000000000001,(5),https://www.snapdeal.com/product/ads-1608-waterproof-eyeliner-mascara/625621853112
Kremlin Liquid Eyeliner Black Pack of 2 6 mL,,,,,Rs. 510,Rs.  196,62% Off,,,https://www.snapdeal.com/product/kremlin-liquid-eyeliner-black-pack/643464818473
GlamGals Glide-on Pencil Eyeliner Purple 1.2 g,,,,,Rs. 375,Rs.  337,10% Off,3.0,(1),https://www.snapdeal.com/product/glamgals-glideon-pencil-eyeliner-purple/666563871281
Kremlin Liquid Eyeliner Black Pack of 4 6 mL,,,,,"Rs. 1,060",Rs.  264,75% Off,,,https://www.snapdeal.com/product/kremlin-liquid-eyeliner-black-pack/636815396195
Incolor master Stroke Eyeliner Shade 05 Blue Shapphire | 6 ml,,,,,Rs. 239,Rs.  200,16% Off,4.3,(3),https://www.snapdeal.com/product/incolor-liquid-eyeliner-navy-6/639675087317
