name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
"Indus Valley Tea Tree Oil For Acne, Pimples & Scars Removal Cleanser 15 mL",,,,,Rs. 299,Rs.  219,27% Off,4.1,(85),https://www.snapdeal.com/product/indus-valley-tea-tree-oil/626411121644#bcrumbSearch:cleanser
"Muuchstac Men's Tea Tree Intimate Wash with pH Balance, 100 mL",,,,,Rs. 375,Rs.  289,23% Off,4.1,(39),https://www.snapdeal.com/product/muuchstac-cleanser-110-ml/659506853966#bcrumbSearch:cleanser
Organic Harvest Organic Harvest Micellar Water Cleanser 200 mL,,6 left!,,,Rs. 395,Rs.  299,24% Off,4.0,(1),https://www.snapdeal.com/product/organic-harvest-organic-harvest-micellar/627585068421#bcrumbSearch:cleanser
WishCare Pure & Natural Aloe Vera Gel - Enriched With Vitamin E Cleanser 200 mL,,,,,Rs. 399,Rs.  259,35% Off,4.4,(28),https://www.snapdeal.com/product/wishcare-pure-natural-aloe-vera/684348444319#bcrumbSearch:cleanser
Good Vibes Nourishing Cleansing Oil - Tea Tree (30 ml),,,,,Rs. 249,Rs.  214,14% Off,4.200000000000001,(24),https://www.snapdeal.com/product/good-vibes-cleanser-30-ml/652042517565#bcrumbSearch:cleanser
"Indus Valley Bio Organic Non Toxic Aloe Vera Gel For Acne, Scars, Glowing Skin Cleanser 175 mL",,,,,Rs. 229,Rs.  159,31% Off,3.9000000000000004,(39),https://www.snapdeal.com/product/indus-valley-bio-organic-non/674085049191#bcrumbSearch:cleanser
Phyto-Rx Daily Deep Cleansing Face Wash (80 g),,,,,Rs. 345,Rs.  289,16% Off,4.4,(15),https://www.snapdeal.com/product/phytorx-daily-deep-cleansing-face/644334640843#bcrumbSearch:cleanser
Hollywood Secrets Green Coffee Extract Cleanser 100 mL,,,,,Rs. 400,Rs.  300,25% Off,,,https://www.snapdeal.com/product/hollywood-secrets-green-coffee-extract/638634302904#bcrumbSearch:cleanser
Avon Naturals face care combo of 2(200 g) Cleanser 200 mL Pack of 2,,4 left!,,,Rs. 599,Rs.  419,30% Off,4.4,(27),https://www.snapdeal.com/product/avon-naturals-face-care-combo/683175258809#bcrumbSearch:cleanser
Phyto-Rx Nourishing Creme Face Wash (80 g),,,,,Rs. 345,Rs.  299,13% Off,4.1,(14),https://www.snapdeal.com/product/phytorx-nourishing-creme-face-wash/674210523306#bcrumbSearch:cleanser
Qraa Lacto Underarm Black spot cream + D-Tan Scrub + D-Tan Cleanser 250 mL Pack of 3,,,,,Rs. 900,Rs.  649,28% Off,4.3,(6),https://www.snapdeal.com/product/qraa-lacto-underarm-black-spot/680333026072#bcrumbSearch:cleanser
Cetaphil Cleanser 500 mL,,,,,Rs. 710,Rs.  649,9% Off,4.6000000000000005,(16),https://www.snapdeal.com/product/cetaphil-cleanser-500-ml/648750795728#bcrumbSearch:cleanser
Nature Sure Pores & Marks Oil Cleanser 200 mL Pack of 2,,,,Featured,Rs. 2758,Rs. 2242,15% Off,0.0,,https://clk.snapdeal.biz/rtb/clickTracker/0/3819869241?slotId=19&slotName=sd-cr-198X232-1-4&campaignId=1156090&websiteId=1&position=&trackerId=10.65.96.22:4d27f083-4a0b-40b4-9956-82dba23b5b43:1&category=generic_search&supcCat=skin-care-face-wash-scrubs&page=slp&accId=10480&siteId=101&sdId=162791515048312042&eId=&dId=&sellerCode=f46356&supc=SDL269044108&pogId=632323208392&brand=Nature+Sure&metricsType=CPC&fp=0.0&type=product&acos=0.0&exp=&billingType=prepaid&servingSystem=null&refTag=search_ad&as=2500000&pr=1750000&ct=https%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Fnature-sure-pores-marks-oil%2F632323208392%3FvendorCode%3Df46356%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL269044108%26utm_campaign%3Dnull%26utm_medium%3DProductAds%26isSellerPage%3Dtrue
"Indus Valley Tea Tree Oil For Acne, Pimples & Scars Removal Cleanser 15 mL",,,,Featured,Rs. 299,Rs. 219,15% Off,4.1,,https://clk.snapdeal.biz/rtb/clickTracker/0/3840179125?slotId=19&slotName=sd-cr-198X232-1-4&campaignId=1258187&websiteId=1&position=&trackerId=10.65.96.22:4d27f083-4a0b-40b4-9956-82dba23b5b43:2&category=generic_search&supcCat=skin-care-face-wash-scrubs&page=slp&accId=20763&siteId=101&sdId=162791515048312042&eId=&dId=&sellerCode=Sa6062&supc=SDL439021852&pogId=626411121644&brand=Indus+Valley&metricsType=CPC&fp=77.27628402563889&type=product&acos=0.0&exp=&billingType=prepaid&servingSystem=null&refTag=search_ad&as=2000000&pr=1400000&ct=https%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Findus-valley-tea-tree-oil%2F626411121644%3FvendorCode%3DSa6062%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL439021852%26utm_campaign%3Dnull%26utm_medium%3DProductAds%26isSellerPage%3Dtrue
Indus Valley Aloe Vera Gel For Skin Care Cleanser 400 mL,,,,Featured,Rs. 449,Rs. 359,10% Off,4.5,,https://clk.snapdeal.biz/rtb/clickTracker/0/3745676560?slotId=19&slotName=sd-cr-198X232-1-4&campaignId=1103452&websiteId=1&position=&trackerId=10.65.96.22:4d27f083-4a0b-40b4-9956-82dba23b5b43:3&category=generic_search&supcCat=skin-care-face-wash-scrubs&page=slp&accId=20763&siteId=101&sdId=162791515048312042&eId=&dId=&sellerCode=Sa6062&supc=SDL551841864&pogId=648187523076&brand=Indus+Valley&metricsType=CPC&fp=77.27628402563889&type=product&acos=0.0&exp=&billingType=prepaid&servingSystem=null&refTag=search_ad&as=3000000&pr=2100000&ct=https%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Findus-valley-aloe-vera-gel%2F648187523076%3FvendorCode%3DSa6062%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL551841864%26utm_campaign%3Dnull%26utm_medium%3DProductAds%26isSellerPage%3Dtrue
"Indus Valley Bio Organic Non Toxic Aloe Vera Gel For Acne, Scars, Glowing Skin Cleanser 175 mL",,,,Featured,Rs. 229,Rs. 159,13% Off,3.9000000000000004,,https://clk.snapdeal.biz/rtb/clickTracker/0/3859461891?slotId=19&slotName=sd-cr-198X232-1-4&campaignId=1152548&websiteId=1&position=&trackerId=10.65.96.22:4d27f083-4a0b-40b4-9956-82dba23b5b43:4&category=generic_search&supcCat=skin-care-face-wash-scrubs&page=slp&accId=20763&siteId=101&sdId=162791515048312042&eId=&dId=&sellerCode=Sa6062&supc=SDL666396280&pogId=674085049191&brand=Indus+Valley&metricsType=CPC&fp=77.27628402563889&type=product&acos=0.0&exp=&billingType=prepaid&servingSystem=null&refTag=search_ad&as=2500000&pr=1750000&ct=https%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Findus-valley-bio-organic-non%2F674085049191%3FvendorCode%3DSa6062%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL666396280%26utm_campaign%3Dnull%26utm_medium%3DProductAds%26isSellerPage%3Dtrue
ARTIMS Aloevera Gel Lotion Cleanser 60 mL,,,,,Rs. 399,Rs.  189,53% Off,,,https://www.snapdeal.com/product/artims-aloevera-gel-lotion-cleanser/654522016311#bcrumbSearch:cleanser
Organic Harvest Desert - Cleanser 100 mL,,5 left!,,,"Rs. 2,195","Rs.  1,599",27% Off,,,https://www.snapdeal.com/product/organic-harvest-desert-cleanser-100/622757122436#bcrumbSearch:cleanser
Organic Harvest Face Mist Cleanser 20 mL,,5 left!,,,Rs. 125,Rs.  113,10% Off,5.0,(1),https://www.snapdeal.com/product/organic-harvest-face-mist-cleanser/676286310996#bcrumbSearch:cleanser
Qraa Mooch & Beard Oil + Charcoal Scrub + D-Tan Cleanser 230 gm Pack of 3,,,,,Rs. 770,Rs.  549,29% Off,3.5,(2),https://www.snapdeal.com/product/qraa-beard-oil-charcoal-scrub/634491753357#bcrumbSearch:cleanser
EVALIFE Rose Water (Gulab Jal) Cleanser 100 mL Pack of 2,,,,,Rs. 198,Rs.  135,32% Off,3.5,(8),https://www.snapdeal.com/product/evalife-rose-water-gulab-jal/654720863359#bcrumbSearch:cleanser
Good Vibes Skin Nourishing Makeup Cleansing Lotion - Olive (120 ml),,4 left!,,,Rs. 199,Rs.  199,,4.5,(10),https://www.snapdeal.com/product/good-vibes-cleanser-120-ml/658908529787#bcrumbSearch:cleanser
ARTIMS Aloevera Gel Lotion Cleanser 60 mL,,,,,Rs. 399,Rs.  189,53% Off,,,https://www.snapdeal.com/product/artims-aloevera-gel-lotion-cleanser/651756808712#bcrumbSearch:cleanser
Vadhika Glycerin(Skin Care) Cleanser 100 ml,,,,,Rs. 250,Rs.  169,32% Off,3.9000000000000004,(67),https://www.snapdeal.com/product/vadhika-glycerinskin-care-cleanser-100/681672084167#bcrumbSearch:cleanser
ARTIMS Aloevera Gel Lotion Cleanser 60 mL,,,,,Rs. 399,Rs.  189,53% Off,,,https://www.snapdeal.com/product/artims-aloevera-gel-lotion-cleanser/634752236843
Organic Harvest Rainforest - Cleanser 100 mL,,,,,"Rs. 2,195","Rs.  1,599",27% Off,,,https://www.snapdeal.com/product/organic-harvest-rainforest-cleanser-100/663621300432
ARTIMS Aloevera Gel Lotion Cleanser 60 mL,,,,,Rs. 399,Rs.  189,53% Off,,,https://www.snapdeal.com/product/artims-aloevera-gel-lotion-cleanser/673495299989
Organic Harvest Organic Harvest Micellar Water Cleanser 90 mL,,7 left!,,,Rs. 245,Rs.  189,23% Off,,,https://www.snapdeal.com/product/organic-harvest-organic-harvest-micellar/678314671583
