name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
"Quality Glass Glass Wall Mirror (18 X 36 Inch, Silver).  ",,Sponsored,,"₹3,000","₹1,799","Save ₹1,201 (40%)",2.8 out of 5 stars,29,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0579532MEC4OT096J17&url=%2FQuality-Glass-Frameless-Decorative-bathrooms%2Fdp%2FB07NWDZGFC%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dwall%2Bmirror%26qid%3D1626846742%26sr%3D8-1-spons%26psc%3D1%26smid%3DA2T0PW94YKLRRP&qualifier=1626846742&id=7231357024743192&widgetName=sp_atf
CasaGold Black Round Wall Mirror - 18 Inch in Metal Frame for Wall Decor / Wash Basin / Bedroom  ,,Sponsored,,"₹5,000","₹1,999","Save ₹3,001 (60%)",4.6 out of 5 stars,5,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A04476641RNVMOUPZ45J5&url=%2FCasaGold-Black-Round-Wall-Mirror%2Fdp%2FB0924H8C98%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dwall%2Bmirror%26qid%3D1626846742%26sr%3D8-2-spons%26psc%3D1&qualifier=1626846742&id=7231357024743192&widgetName=sp_atf
Papdiwal Industries MIRRORNOW'S Glass Imported Touch Sensor LED Bathroom Mirror (27X18 Inches)  ,,Sponsored,,,,,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06392751X1GCPSK2DXD8&url=%2FPapdiwal-Industries-MIRRORNOWS-Sensor-Bathroom%2Fdp%2FB08C9MFHQ8%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dwall%2Bmirror%26qid%3D1626846742%26sr%3D8-3-spons%26psc%3D1&qualifier=1626846742&id=7231357024743192&widgetName=sp_atf
"Timberly Wooden Wall Decorative Vintage Sunburst Mirror for Living Room (16 x 16 Inch) (Brown Color) - Set of 1, Medium  ",,Sponsored,,"₹2,449","₹1,250","Save ₹1,199 (49%)",3.8 out of 5 stars,27,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05067763VCU78AGKL3DJ&url=%2FTimberly-Wooden-Decorative-Vintage-Sunburst%2Fdp%2FB09298CR3N%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dwall%2Bmirror%26qid%3D1626846742%26sr%3D8-4-spons%26psc%3D1&qualifier=1626846742&id=7231357024743192&widgetName=sp_atf
SEVEN HORSES Floral Design Glass Wall Mirror for Makeup Bathroom Dressing (14.5X26.5 Inch)  ,Amazon's Choice,,,"₹1,998","₹1,199",Save ₹799 (40%),4.3 out of 5 stars,266,https://www.amazon.in/SEVEN-HORSES-Bathroom-Dressing-14-5X26-5/dp/B08KHHJC98/ref=ice_ac_b_dpb?dchild=1&keywords=wall+mirror&qid=1626846742&sr=8-5
"Seven Horses Frame Brown Sunmica Finish Fiber Wood Wall Mirror, Dressing Mirror Solid Premium Brown Water Resistant Synthetic Fiber Wood Made (14.5X26.5 Inch)  ",,,,"₹1,998","₹1,199",Save ₹799 (40%),4.1 out of 5 stars,313,https://www.amazon.in/Sunmica-Dressing-Premium-Resistant-Synthetic/dp/B0795WCNQS/ref=sr_1_6?dchild=1&keywords=wall+mirror&qid=1626846742&sr=8-6
Reflectionz Frameless Rectangle Decorative Mirror | Mirror Glass for Wall | Mirror for Bathrooms | Mirror in Home | Mirror Decor | Mirror Size : (10 X 14 Inch)  ,,,,₹799,₹480,Save ₹319 (40%),4.0 out of 5 stars,326,https://www.amazon.in/Reflectionz-Frameless-Rectangle-Decorative-Bathrooms/dp/B08T7JKT3P/ref=sr_1_7?dchild=1&keywords=wall+mirror&qid=1626846742&sr=8-7
Quality Glass Verticle Shape Frameless Decorative Mirror Mirror Glass for Wall Mirror for bathrooms Mirror in Home Mirror décor Mirror Size : 12 X 18 inch QGFL 132  ,,,,"₹2,449",₹889,"Save ₹1,560 (64%)",3.7 out of 5 stars,43,https://www.amazon.in/Quality-Glass-Frameless-Decorative-bathrooms/dp/B0928GB9KR/ref=sr_1_8?dchild=1&keywords=wall+mirror&qid=1626846742&sr=8-8
"Wall1ders - Hexagon 3D Acrylic Stickers, 3D Acrylic Wall Stickers for Living Room, Hall, Bed Room & Home with 10 Butterfly Stickers - Pack of 28 (Silver)  ",Best seller,,,"₹1,099",₹370,Save ₹729 (66%),4.0 out of 5 stars,"2,981",https://www.amazon.in/gp/bestsellers/kitchen/5554172031/ref=sr_bs_8_5554172031_1
"Art Street Decorative Wall Mirror Black Flat Small Size/Looking Glass Inner Size 10 x 12 inch, Outer Size 12 x 14 inch  ",Deal of the Day ,,,"₹1,500",₹474,"Save ₹1,026 (68%)",3.7 out of 5 stars,341,https://www.amazon.in/Art-Street-Decorative-Mirror-Looking/dp/B07DWWT61F/ref=sr_1_10?dchild=1&keywords=wall+mirror&qid=1626846742&sr=8-10
